n_neighbors,weights,metric,p,train_accuracy,test_accuracy,test_error,test_f1,test_precision,test_recall,cv_mean,cv_std,overfit_gap
15,distance,minkowski,3.0,1.0,0.835,0.16500000000000004,0.8405797101449275,0.8130841121495327,0.87,0.816394176931691,0.041666822120414074,0.16500000000000004
20,uniform,euclidean,,0.8312236286919831,0.83,0.17000000000000004,0.8365384615384616,0.8055555555555556,0.87,0.8205599104143337,0.0476330028900919,0.001223628691983114
20,uniform,manhattan,,0.8396624472573839,0.815,0.18500000000000005,0.8229665071770335,0.7889908256880734,0.86,0.8247928331466964,0.0408241645391969,0.02466244725738398
20,uniform,minkowski,1.0,0.8396624472573839,0.815,0.18500000000000005,0.8229665071770335,0.7889908256880734,0.86,0.8247928331466964,0.0408241645391969,0.02466244725738398
20,uniform,minkowski,1.5,0.8333333333333334,0.825,0.17500000000000004,0.8325358851674641,0.7981651376146789,0.87,0.8205599104143337,0.04167789592396467,0.008333333333333415
20,uniform,minkowski,2.0,0.8312236286919831,0.83,0.17000000000000004,0.8365384615384616,0.8055555555555556,0.87,0.8205599104143337,0.0476330028900919,0.001223628691983114
20,uniform,minkowski,2.5,0.8312236286919831,0.835,0.16500000000000004,0.8405797101449275,0.8130841121495327,0.87,0.8226651735722283,0.04447984716851197,-0.0037763713080168904
20,uniform,minkowski,3.0,0.8312236286919831,0.84,0.16000000000000003,0.8446601941747572,0.8207547169811321,0.87,0.8226651735722283,0.04447984716851197,-0.008776371308016895
20,distance,euclidean,,1.0,0.845,0.15500000000000003,0.8502415458937198,0.822429906542056,0.88,0.8142441209406496,0.047846336493211024,0.15500000000000003
20,distance,manhattan,,1.0,0.84,0.16000000000000003,0.8446601941747572,0.8207547169811321,0.87,0.8227099664053752,0.0442100044103977,0.16000000000000003
20,distance,minkowski,1.0,1.0,0.84,0.16000000000000003,0.8446601941747572,0.8207547169811321,0.87,0.8227099664053752,0.0442100044103977,0.16000000000000003
20,distance,minkowski,1.5,1.0,0.845,0.15500000000000003,0.8502415458937198,0.822429906542056,0.88,0.8184546472564389,0.045419711938254954,0.15500000000000003
20,distance,minkowski,2.0,1.0,0.845,0.15500000000000003,0.8502415458937198,0.822429906542056,0.88,0.8142441209406496,0.047846336493211024,0.15500000000000003
20,distance,minkowski,2.5,1.0,0.845,0.15500000000000003,0.8502415458937198,0.822429906542056,0.88,0.8163493840985442,0.04549439397389622,0.15500000000000003
20,distance,minkowski,3.0,1.0,0.85,0.15000000000000002,0.8543689320388349,0.8301886792452831,0.88,0.8121612541993282,0.04618875276582686,0.15000000000000002
25,uniform,euclidean,,0.8312236286919831,0.83,0.17000000000000004,0.8380952380952381,0.8,0.88,0.8226875699888018,0.04817247942825022,0.001223628691983114
25,uniform,manhattan,,0.8312236286919831,0.835,0.16500000000000004,0.8436018957345972,0.8018018018018018,0.89,0.8184546472564389,0.049616954756545276,-0.0037763713080168904
25,uniform,minkowski,1.0,0.8312236286919831,0.835,0.16500000000000004,0.8436018957345972,0.8018018018018018,0.89,0.8184546472564389,0.049616954756545276,-0.0037763713080168904
25,uniform,minkowski,1.5,0.8354430379746836,0.83,0.17000000000000004,0.8380952380952381,0.8,0.88,0.8226875699888018,0.045814638774803663,0.0054430379746835955
25,uniform,minkowski,2.0,0.8312236286919831,0.83,0.17000000000000004,0.8380952380952381,0.8,0.88,0.8226875699888018,0.04817247942825022,0.001223628691983114
25,uniform,minkowski,2.5,0.8354430379746836,0.835,0.16500000000000004,0.8436018957345972,0.8018018018018018,0.89,0.8163493840985442,0.04549439397389622,0.0004430379746835911
25,uniform,minkowski,3.0,0.8333333333333334,0.835,0.16500000000000004,0.8436018957345972,0.8018018018018018,0.89,0.8163493840985442,0.04549439397389622,-0.0016666666666665941
25,distance,euclidean,,1.0,0.85,0.15000000000000002,0.8543689320388349,0.8301886792452831,0.88,0.8163717805151176,0.04584653146976279,0.15000000000000002
25,distance,manhattan,,1.0,0.835,0.16500000000000004,0.8421052631578947,0.8073394495412844,0.88,0.8247928331466964,0.04782374959454633,0.16500000000000004
25,distance,minkowski,1.0,1.0,0.835,0.16500000000000004,0.8421052631578947,0.8073394495412844,0.88,0.8247928331466964,0.04782374959454633,0.16500000000000004
25,distance,minkowski,1.5,1.0,0.845,0.15500000000000003,0.8502415458937198,0.822429906542056,0.88,0.82481522956327,0.04628779632346034,0.15500000000000003
